2017104;RU; ;HENRIQUE RABELO;1376;-38.312.964;-3.445.805
2017107;RU; ;HENRIQUE RABELO;1376;-38.312.964;-3.445.805
2017114;RU; ;HENRIQUE RABELO;1376;-38.312.964;-3.445.805
4640710;RU; ;HENRIQUE RABELO;1376;-38.312.964;-3.445.805
6002250;RU; ;HENRIQUE RABELO;1376;-38.312.964;-3.445.805
2017133;RU; ;HENRIQUE RABELO;1376;-38.312.964;-3.445.805
4850084;RU; ;HENRIQUE RABELO;1376;-38.312.964;-3.445.805
6017813;RU; ;HENRIQUE RABELO;1376;-38.312.964;-3.445.805
2016952;RU; ;HENRIQUE RABELO;1376;-38.312.964;-3.445.805
2016958;RU; ;HENRIQUE RABELO;1376;-38.312.964;-3.445.805
4362151;RU; ;HENRIQUE RABELO;1376;-38.312.964;-3.445.805
2016980;RU; ;HENRIQUE RABELO;1376;-38.312.964;-3.445.805
4096089;RU; ;HENRIQUE RABELO;1376;;
2017055;RU; ;HENRIQUE RABELO;1376;-38.312.964;-3.445.805
2017056;RU; ;HENRIQUE RABELO;1376;-38.312.964;-3.445.805
5066031;RU; ;HENRIQUE RABELO;1376;-38.312.964;-3.445.805
2017060;RU; ;HENRIQUE RABELO;1376;-38.312.964;-3.445.805
5455860;RU; ;HENRIQUE RABELO;1376;-38.312.964;-3.445.805
5321358;RU; ;HENRIQUE RABELO;1376;-38.312.964;-3.445.805
2017070;RU; ;HENRIQUE RABELO;1376;-38.312.964;-3.445.805
4001909;RU; ;HENRIQUE RABELO;1376;;
5086139;RU; ;HENRIQUE RABELO;1376;-38.312.964;-3.445.805
2017168;RU; ;HENRIQUE RABELO;1376;-38.312.964;-3.445.805
5356856;RU; ;HENRIQUE RABELO;1376;-38.312.964;-3.445.805
28952;RU; ;ANTONIO POMPEU;598;-38.317.472;-3.441.155
5380292;RU; ;HENRIQUE RABELO;1376;-38.312.964;-3.445.805
4243733;RU; ;HENRIQUE RABELO;1376;-38.312.964;-3.445.805
2017214;RU; ;HENRIQUE RABELO;1376;-38.312.964;-3.445.805
2007080;VD; ;MOREIRA DA ROCHA;286;-38.312.791;-3.431.878
4702338;RU; ;ANTONIO AUGUSTO;2733;-38.310.924;-3.446.991
2006980;RU;MON;SALAZAR;449;-38.309.474;-3.453.850
4436859;RU; ;DA SAUDADE;350;;
1342038;RU;PDE;ANTONINO ALENCAR;53;-38.311.933;-3.444.377
4779648;RU; ;FLORO BARTOLOMEU;253;-38.307.189;-3.456.153
881040;RU; ;DOS POCINHOS;20;-38.315.172;-3.436.832
2713809;RU; ;HENRIQUE RABELO;1050;-38.312.905;-3.443.980
4365691;RU; ;DOMINGOS OLIMPIO;1309;-38.321.140;-3.441.106
35620;RU; ;ARACATI;86;-38.320.983;-3.445.064
137990;RU; ;PINTO MADEIRA;325;-38.313.272;-3.438.507
182481;RU; ;OSVALDO CRUZ;2847;-38.302.928;-3.449.856
3245;AV; ;TRISTAO GONCALVES;827;-38.320.379;-3.437.469
4356871;RU; ;JUSTINIANO DE SERPA;345;-38.325.310;-3.440.505
3377673;VL; ;JOSE MARIA FILOMENO;8;;
306629;RU;LIV;ARLINDO;16;-38.326.201;-3.436.507
906113;RU;LIV;ARLINDO;18;-38.326.188;-3.436.512
5424397;RU;LIV;ARLINDO;20;-38.326.169;-3.436.585
306645;RU;LIV;ARLINDO;76;-38.326.525;-3.437.021
5410674;RU;LIV;ARLINDO;76;-38.326.525;-3.437.021
5345180;RU;LIV;ARLINDO;82;-38.326.183;-3.436.884
5273321;RU;LIV;ARLINDO;82;-38.326.175;-3.436.863
306649;RU;LIV;ARLINDO;86;-38.326.208;-3.436.913
1132652;RU;LIV;ARLINDO;86;-38.326.198;-3.436.935
770071;RU;LIV;ARLINDO;57;-38.326.018;-3.436.884
1722635;RU;LIV;ARLINDO;110;-38.326.217;-3.436.927
1431162;RU;LIV;ARLINDO;113;-38.326.173;-3.437.039
977370;TR; ;DAVI PASCOAL;23;-38.325.982;-3.436.858
306631;TR; ;DAVI PASCOAL;27;-38.325.999;-3.436.852
1321241;TR; ;DAVI PASCOAL;35;-38.325.989;-3.436.841
1321242;TR; ;DAVI PASCOAL;35;-38.325.927;-3.436.759
1208581;TR; ;DAVI PASCOAL;45;-38.325.924;-3.436.746
306634;TR; ;DAVI PASCOAL;47;-38.325.958;-3.436.816
306635;TR; ;DAVI PASCOAL;49;-38.325.958;-3.436.817
306638;TR; ;DAVI PASCOAL;59;-38.326.022;-3.436.878
306641;TR; ;DAVI PASCOAL;61;-38.325.824;-3.436.908
5439710;TR; ;DAVI PASCOAL;63;-38.325.824;-3.436.911
306643;TR; ;DAVI PASCOAL;71;-38.325.952;-3.436.869
306656;TR; ;DAVI PASCOAL;103;-38.325.987;-3.437.058
306667;TR; ;DAVI PASCOAL;121;-38.326.014;-3.437.093
4817596;TR; ;DAVI PASCOAL;147;-38.326.096;-3.437.208
1310031;RU;LIV;ARLINDO;104;-38.326.107;-3.436.982
911840;RU;LIV;ARLINDO;113;-38.325.942;-3.437.030
1321243;RU;LIV;ARLINDO;113;-38.326.002;-3.437.040
306665;RU;LIV;ARLINDO;116;-38.326.178;-3.437.067
